Date,case_rate,cases,death_rate,deaths,location
4/15/2020,100.56,21,,,CITY OF AGOURA HILLS
4/15/2020,42.66,37,,,CITY OF ALHAMBRA
4/15/2020,43.29,25,,,CITY OF ARCADIA
4/15/2020,29.77,5,,,CITY OF ARTESIA
4/15/2020,0,0,,,CITY OF AVALON
4/15/2020,43.96,22,,,CITY OF AZUSA
4/15/2020,44.29,34,,,CITY OF BALDWIN PARK
4/15/2020,176.15,64,,,CITY OF BELL
4/15/2020,90.55,39,,,CITY OF BELL GARDENS
4/15/2020,70.75,55,,,CITY OF BELLFLOWER
4/15/2020,225.96,78,,,CITY OF BEVERLY HILLS
4/15/2020,--,--,,,CITY OF BRADBURY
4/15/2020,104.5,112,,,CITY OF BURBANK
4/15/2020,106.89,26,,,CITY OF CALABASAS
4/15/2020,141.72,133,,,CITY OF CARSON
4/15/2020,67.91,34,,,CITY OF CERRITOS
4/15/2020,35.63,13,,,CITY OF CLAREMONT
4/15/2020,--,--,,,CITY OF COMMERCE
4/15/2020,72.07,72,,,CITY OF COMPTON
4/15/2020,110.13,54,,,CITY OF COVINA
4/15/2020,98.57,24,,,CITY OF CUDAHY
4/15/2020,85.29,34,,,CITY OF CULVER CITY
4/15/2020,38.25,22,,,CITY OF DIAMOND BAR
4/15/2020,97.14,111,,,CITY OF DOWNEY
4/15/2020,68.13,15,,,CITY OF DUARTE
4/15/2020,28.99,34,,,CITY OF EL MONTE
4/15/2020,71.49,12,,,CITY OF EL SEGUNDO
4/15/2020,133.75,82,,,CITY OF GARDENA
4/15/2020,134.63,278,,,CITY OF GLENDALE
4/15/2020,49.28,26,,,CITY OF GLENDORA
4/15/2020,--,--,,,CITY OF HAWAIIAN GARDENS
4/15/2020,97.99,87,,,CITY OF HAWTHORNE
4/15/2020,86.43,17,,,CITY OF HERMOSA BEACH
4/15/2020,0,0,,,CITY OF HIDDEN HILLS
4/15/2020,73.97,44,,,CITY OF HUNTINGTON PARK
4/15/2020,--,--,,,CITY OF INDUSTRY
4/15/2020,116.22,132,,,CITY OF INGLEWOOD
4/15/2020,0,0,,,CITY OF IRWINDALE
4/15/2020,111.15,23,,,CITY OF LA CANADA FLINTRIDGE
4/15/2020,--,--,,,CITY OF LA HABRA HEIGHTS
4/15/2020,50.4,25,,,CITY OF LA MIRADA
4/15/2020,54.06,22,,,CITY OF LA PUENTE
4/15/2020,27.04,9,,,CITY OF LA VERNE
4/15/2020,53.51,43,,,CITY OF LAKEWOOD
4/15/2020,56.32,91,,,CITY OF LANCASTER
4/15/2020,92.22,31,,,CITY OF LAWNDALE
4/15/2020,110.96,23,,,CITY OF LOMITA
4/15/2020,116.59,84,,,CITY OF LYNWOOD
4/15/2020,138.88,18,,,CITY OF MALIBU
4/15/2020,152.78,55,,,CITY OF MANHATTAN BEACH
4/15/2020,99.83,28,,,CITY OF MAYWOOD
4/15/2020,36.08,14,,,CITY OF MONROVIA
4/15/2020,99.42,64,,,CITY OF MONTEBELLO
4/15/2020,54.61,34,,,CITY OF MONTEREY PARK
4/15/2020,81.77,88,,,CITY OF NORWALK
4/15/2020,74.23,118,,,CITY OF PALMDALE
