Region,Latitude,Longitude,Population
Northridge,34.2345615,-118.5369316,67755
Exposition Park,34.013654,-118.2872106,45190
Norwalk,33.9092802,-118.0849169,104868
Hawthorne,33.9188589,-118.3483256,114032
El Segundo,33.917028,-118.4156337,26864
Glendale,34.1469416,-118.2478471,201605
Huntington Park,33.9827043,-118.2120343,59508
Culver City,34.0211224,-118.3964665,56391
Brentwood,34.0521403,-118.4740699,51891
Mountains,34.2049163,-118.2729065,31552
Pico-Union,34.0410725,-118.2844479,42603
Del Rey,33.9896527,-118.4243437,29258
Vermont Vista,33.9419475,-118.2858138,43908
Inglewood,33.9562003,-118.353132,116359
Long Beach,33.7690164,-118.1916048,483934
Woodland Hills,34.1684364,-118.6058382,64543
Highland Park,34.1099469,-118.1969828,48168
Westwood,34.0561207,-118.4306347,54421
Rancho Palos Verdes,33.7483311,-118.3707683,42908
Hyde Park,33.9805691,-118.3306308,32712
Mar Vista,34.0037605,-118.4391641,41891
Mt. Washington,34.0988396,-118.2211069,34192
Whittier,33.9708782,-118.0308396,99118
Miracle Mile,34.008544,-118.133415,34069
Bell Gardens,33.9694561,-118.1503953,67342
Westchester,33.9597349,-118.4006322,50798
La Canada Flintridge,34.1998302,-118.2005236,40253
Downtown,34.0428494,-118.2476732,27488
Harbor City,33.7911012,-118.3012604,31263
Sunland,34.2669466,-118.3023,38465
University Park,34.1282922,-117.8855566,35410
San Dimas,34.1066756,-117.8067257,34330
Redondo Beach,33.8455911,-118.3886766,69316
South El Monte,34.0519548,-118.0467339,32030
Watts,33.9405674,-118.2428485,42829
Beverlywood,34.0466335,-118.395038,27910
Hollywood Hills,34.1311792,-118.3355474,28875
Silverlake,34.0827697,-118.273646,43188
East Hollywood,34.0904277,-118.2966254,29790
Lomita,33.8036545,-118.3195014,45781
Panorama City,34.2242902,-118.4453745,76007
San Pedro,33.7358518,-118.2922934,79805
South Pasadena,34.1133062,-118.1478291,39453
Monrovia,34.1483499,-118.0014517,37614
Wilmington,33.780018,-118.2625711,57279
Alhambra,34.093042,-118.12706,86706
Hancock Park,34.0677881,-118.3325765,31829
Chatsworth,34.2595715,-118.6023247,36039
Arcadia,34.1362075,-118.0401497,56993
Harbor Gateway,33.8542249,-118.2992198,43700
Pasadena,34.1476452,-118.1444779,174449
Encino,34.1591324,-118.5016166,42533
San Fernando,34.28497,-118.437652,48440
Santa Clarita,34.3916641,-118.542586,219356
Temple-Beaudry,34.0628846,-118.2512529,53142
East Los Angeles,34.0239015,-118.1720157,126985
District,33.9505759,-118.336554,29977
Manhattan Beach,33.8915985,-118.3951241,54881
Sherman Oaks,34.1508718,-118.4489865,84967
Bangladesh,33.973951,-118.248405,29070
Willowbrook,33.9187863,-118.2343933,43095
Winnetka,34.2058826,-118.570934,55773
Venice,33.995044,-118.4668875,34136
Paramount,33.898917,-118.171005,56225
Vermont Knolls,33.9668188,-118.29167,36831
Century City,34.0574263,-118.4147267,28076
Park La Brea,34.0674016,-118.3552363,27005
Hollywood,34.0980031,-118.3295232,64944
Canyon Country,34.4233293,-118.4720281,25745
Reseda,34.2000784,-118.5369884,75758
Central,34.0536909,-118.2427666,39107
North Hollywood,34.1729044,-118.3740371,151354
Canoga Park,34.2010776,-118.5978259,63694
North Hills,34.2429575,-118.4854081,60919
Lake Los Angeles,34.6127395,-117.8403955,25960
Baldwin Park,34.0854739,-117.9611761,75833
Wilshire Center,34.0615146,-118.4327712,51463
Arleta,34.2413266,-118.4322047,35111
Palms,34.0247328,-118.4116152,45160
Lynwood,33.924831,-118.2024154,72189
Westlake,34.0629226,-118.2728204,58683
West Hollywood,34.0923014,-118.3692894,35798
Baldwin Hills,34.0109887,-118.3370709,29994
Azusa,34.1338751,-117.9056046,65527
Echo Park,34.0779819,-118.2567824,30710
Glassell Park,34.1161201,-118.2289627,31385
Burbank,34.1816482,-118.3258554,104692
El Monte,34.0751571,-118.036849,113725
El Sereno,34.0811213,-118.1778495,45030
South Whittier,33.9435081,-118.0347827,63072
Altadena,34.1863161,-118.1352329,53439
Maywood,33.9866807,-118.185349,41472
Hacienda Heights,33.9930677,-117.9686755,54634
Sylmar,34.3076252,-118.4492148,82749
West Vernon,34.007135,-118.22525,61940
Sun Valley,34.2175042,-118.3703576,55192
La Mirada,33.9060971,-118.0107092,54602
Lincoln Heights,34.0705664,-118.2050727,33052
Castaic,34.4888822,-118.6228656,28325
Palms/Cove,34.0247328,-118.4116152,54881
Lawndale,33.8885217,-118.3531991,42232
Harvard Park,34.006081,-118.306737,39646
Calabasas,34.1446643,-118.6440973,26051
South Gate,33.9463456,-118.200981,99739
Duarte,34.1394513,-117.9772873,39704
Diamond Bar,34.0286226,-117.8103367,57127
Van Nuys,34.1866581,-118.448729,92856
Los Feliz,34.1100408,-118.2889236,53290
Monterey Park,34.051522,-118.129807,61121
Bell,33.9747806,-118.1866361,36596
Crestview,34.0621851,-118.4250119,25678
