location,locatpopulationion,cases,risk_score,last_date
ACTON,28809,"[11,11,13,13,13,15,16,16]","[282.4057755,292.416132,303.2371164,314.9317219,327.5689478,341.2247093,355.9825476,371.9348237]",6/11/2020
AGOURA HILLS,29523,"[35,35,35,35,35,36,36,36]","[271.2179343,280.8317185,291.2240168,302.4553266,314.5919137,327.706686,341.8798749,357.2001826]",6/11/2020
ALHAMBRA,86706,"[228,231,238,238,249,252,256,266]","[215.2295483,222.8587283,231.1057112,240.0185057,249.6496983,260.0571462,271.3045184,283.4622059]",6/11/2020
ALTADENA,53439,"[164,165,166,166,170,173,174,178]","[279.4635359,289.3695997,300.0778459,311.6506114,324.1561765,337.6696657,352.2737497,368.0598273]",6/11/2020
ARCADIA,56993,"[10,10,11,11,11,11,11,11]","[231.4699428,239.6747914,248.5440599,258.1293797,268.4873051,279.680059,291.7761146,304.8511746]",6/11/2020
AVALON,4034,"[0,0,0,0,0,0,0,0]","[379.8389105,393.3029513,407.8572958,423.5866704,440.5838798,458.951031,478.8004877,500.2564766]",6/11/2020
BALDWIN PARK,75833,"[382,393,405,405,412,419,427,445]","[217.452527,225.1605043,233.4926654,242.4975149,252.2281824,262.7431227,274.1066623,286.3899194]",6/11/2020
BELL,36596,"[381,400,408,408,414,426,437,457]","[266.327309,275.7677367,285.9726401,297.0014259,308.9191651,321.7974506,335.7150674,350.759118]",6/11/2020
BELL GARDENS,67342,"[353,358,359,359,374,393,398,416]","[296.8128449,307.3338846,318.7069069,330.9981185,344.2800386,358.6324555,374.1431722,390.9092615]",6/11/2020
BELLFLOWER,76060,"[439,446,457,457,478,492,503,517]","[234.9722315,243.3012247,252.304691,262.0350428,272.5496903,283.9117977,296.1908744,309.4637684]",6/11/2020
BEVERLY HILLS,34652,"[141,144,146,146,149,150,152,155]","[644.8008819,667.6569536,692.3638857,719.0655066,747.9193584,779.0987741,812.7944983,849.2174138]",6/11/2020
BURBANK,104692,"[408,408,409,409,419,424,426,431]","[451.932324,467.9518394,485.268598,503.9834074,524.2066866,546.0599226,569.6768055,595.2051404]",6/11/2020
CALABASAS,26051,"[86,87,90,90,92,94,95,96]","[419.2203677,434.0803517,450.1436814,467.5038675,486.2633368,506.5347826,528.4422183,552.1227506]",6/11/2020
CANOGA PARK,63694,"[543,548,552,552,566,576,583,592]","[306.9476215,317.8279058,329.5892638,342.300163,356.0355989,370.878084,386.9184194,404.2569926]",6/11/2020
