OBJECTID_1,OBJECTID,CITY_TYPE,LCITY,COMMUNITY,LABEL,SOURCE,ShapeSTAre,ShapeSTLen,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2020 Total Population
1,47,City,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,LA City,10341801.57812500,13122.60326903,0,US,1,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,8147.00000000
2,48,City,Los Angeles,Alsace,Los Angeles - Alsace,LA City,17348594.17871090,20258.23177941,1,US,2,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,11884.00000000
3,49,City,Los Angeles,Angeles National Forest,Los Angeles - Angeles National Forest,LA City,151134792.70507801,102981.68019950,2,US,3,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,20.00000000
4,50,City,Los Angeles,Angelino Heights,Los Angeles - Angelino Heights,LA City,4179683.23437500,10403.78962578,3,US,4,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,2427.00000000
5,51,City,Los Angeles,Arleta,Los Angeles - Arleta,LA City,79641922.66113280,41395.48490875,4,US,5,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,33796.00000000
6,52,City,Los Angeles,Atwater Village,Los Angeles - Atwater Village,LA City,64926574.45410160,66563.72468561,5,US,6,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,14583.00000000
7,53,City,Los Angeles,Baldwin Hills,Los Angeles - Baldwin Hills,LA City,72396942.76953129,51824.31600889,6,US,7,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,29331.00000000
8,54,City,Los Angeles,Bel Air,Los Angeles - Bel Air,LA City,186580221.04296899,76705.39740195,7,US,8,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,8608.00000000
9,55,City,Los Angeles,Beverly Crest,Los Angeles - Beverly Crest,LA City,234233281.12304699,110820.54850938,8,US,9,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,12223.00000000
10,56,City,Los Angeles,Beverlywood,Los Angeles - Beverlywood,LA City,29915304.19238280,33551.26573871,9,US,10,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,12807.00000000
